Model,R2_mean,R2_SD,MAE_mean,MAE_SD,RMSE_mean,RMSE_SD
RuleFit (Tuned),0.7616351659479401,0.1124123595323031,1.4905368396829204,0.2604902097516468,2.027633475639894,0.40413391126971143
"XGBoost (Extra Features, Tuned)",0.7210677788624137,0.15252006066291093,1.5577412697474162,0.3163574752215371,2.169410960033518,0.4809960164380621
