Model,R2_pooled,MAE_pooled,RMSE_pooled
RuleFit (Tuned),0.3877308214410695,3.005202007744151,3.640272124333479
"XGBoost (Extra Features, Tuned)",0.4862458637855478,2.7956468426308976,3.3345736718167007
