split,tree_size,max_rules,inner_cv_R2,R2,MAE,RMSE,R2_published_cfg,MAE_published_cfg,RMSE_published_cfg
0,8,500,0.774297442710156,0.8029400323705629,1.341597902499361,1.7167141541112205,0.7241692975875295,1.5234382973686809,2.031047531095278
1,6,50,0.8258837009108866,0.8011152012049343,1.461855908668174,1.8625207822486505,0.8253069027532272,1.4391474394856225,1.7455737590154496
2,2,200,0.651808592236149,0.8571051587884937,1.3940809085530206,1.7314301366298712,0.878986082656635,1.2090625440755212,1.5933616393449632
3,8,50,0.8325566669216082,0.778997718635194,1.877378882266628,2.3991175815113066,0.814093296631022,1.3008038156002193,2.200395154076702
4,2,500,0.8519279863507903,0.7386377538733196,1.423897464355415,2.1314372279240623,0.7428621877614097,1.5364572385958724,2.1141416993594238
5,8,50,0.8404801529628128,0.23698993826748505,1.5840633542590181,2.7641137733733694,0.6455857694905756,1.4735249353309836,1.8838501680821305
6,8,100,0.7980000907998557,0.74734272933067,1.6010242907235348,2.4380241488245646,0.8772600387782279,1.2130038525398197,1.699280578238089
7,4,500,0.8082459038630875,0.8390632805621437,1.169027881133283,1.695815280795819,0.8013809648424469,1.2682850606539546,1.8839154426072866
8,4,200,0.690975059077888,0.887456503427617,1.2629589022172198,1.728678845309218,0.7789370399761675,1.6994275222346604,2.4227695451408366
9,2,50,0.7796391360364231,0.8773663821667576,1.1232361213126867,1.2985205647776512,0.792892153021884,1.1920025007619466,1.687494393503038
10,2,100,0.828762595974902,0.6948822670488317,1.5785367370477166,2.0602432939321065,0.631705943210628,1.6374179621323628,2.2635085540260724
11,8,200,0.841615457308769,0.7192850065564276,1.424996500337979,2.017889171484437,0.5144858108268564,1.9573997176690618,2.6537833705901197
12,2,500,0.8251969952936259,0.8076696307775455,1.5007788092360885,1.8182933261405887,0.8399180973360534,1.1941144854968726,1.65886533083261
13,2,500,0.7469267718927947,0.7566917138185035,1.5502747544544764,1.8976382677903167,0.7552786955229233,1.388743486967386,1.9031405789269593
14,2,100,0.7614375926203684,0.8174110093959861,1.3157508671313178,1.7128487631950957,0.8165396193384123,1.2291514961412264,1.716931109115008
15,8,500,0.7100803382147373,0.7889763750194626,1.2617830335114122,1.881610377556944,0.723897732672816,1.4589054444286682,2.1522818662433107
16,4,500,0.7829578610994703,0.687426028622392,1.6500217839552125,2.738316144721674,0.8243555541011044,1.5343514098122393,2.0526948481573912
17,8,500,0.7404491749916795,0.791974302742334,1.8230043319894724,2.610590799161161,0.8119233526035963,1.8267590132587381,2.482262733132173
18,3,500,0.8756052987564628,0.7242836970241037,1.4926464581683445,2.006092897492754,0.726388440031273,1.4889849874315615,1.9984212457870207
19,2,50,0.7853824764034905,0.6628050659895455,1.641035668190977,2.0983215000230033,0.7582016361758482,1.43341552861617,1.7768803672321327
20,3,200,0.7619494341438754,0.8014509498715399,1.3907288975139602,1.8729897344671134,0.8453856499157042,1.3152174161356833,1.6528231605028822
21,4,500,0.6847294550006421,0.763601796653915,1.450145153621737,1.9228905535436407,0.8182715253830039,1.215597080974574,1.6859472053240665
22,2,500,0.7929968301501422,0.7976722356001309,1.514483126237103,1.9324464220681516,0.8297282540005675,1.2753245177942083,1.7727643723311595
23,8,500,0.8397192149332614,0.7184451610009212,1.8015208051083311,2.769451040337987,0.6939069124179835,1.8067165239182534,2.887612778683452
24,8,100,0.790486236704129,0.752409526643201,1.5686583619917003,2.0709272891442025,0.7064567076566708,1.5516601102392948,2.2549346821192953
25,4,500,0.8083138093052824,0.8002501823859722,1.529646713025096,1.8814349118027056,0.8301617427922112,1.2626224036054463,1.7348573289559053
26,2,500,0.8891232701248193,0.7509910521159329,1.9733409738708139,2.587172425367142,0.7480175829999007,1.766817644005598,2.6025735744021383
27,3,100,0.7889449635376831,0.6714380582112063,1.7216602509345682,2.078675317487157,0.702346607771362,1.5290534298157832,1.9784881304126747
28,3,500,0.8297120147167606,0.8517443315770414,1.2239087276760559,1.9771164034094326,0.7817818428350897,1.7108397047329567,2.3986784181458862
29,2,200,0.779337752852688,0.7684998702417711,1.529728368476314,2.078887733996082,0.7357719936559626,1.5393570451252085,2.220980990287843
